"PLAYER_ID","MMR","RANK","WIN","LOSE","TOTAL_MATCHES","WINRATE_PORCENTAGEM"
"102022","3615","62","2402","2368","4770","50"
"366555","3603","54","2312","2344","4656","49"
"783526","3893","52","3135","3160","6295","49"
"838956","3001","23","4133","4393","8526","48"
"1687757","2295","21","1481","1440","2921","50"
"3066654","2504","42","1013","1025","2038","49"
"3993850","3282","51","209","152","361","57"
"4176927","1716","14","3146","3331","6477","48"
"5010645","2199","25","1286","1236","2522","50"
"5972918","3094","42","1364","1436","2800","48"
"7194724","3460","45","2539","2689","5228","48"
"7327611","3288","43","1766","1732","3498","50"
"10007240","2408","25","1059","1060","2119","49"
"10020096","3515","54","152","156","308","49"
"10136248","4407","75","3853","3708","7561","50"
"10752836","2683","33","998","1101","2099","47"
"11671376","3180","42","2889","2908","5797","49"
"12088756","3113","51","2328","2304","4632","50"
"12241655","3692","52","2184","1879","4063","53"
"12543453","1690","21","2165","2190","4355","49"
"12949472","3371","34","903","963","1866","48"
"12954503","3835","61","436","366","802","54"
"15279489","4133","74","8238","8027","16265","50"
"18669608","2931","43","938","897","1835","51"
"19240687","2977","41","1254","1234","2488","50"
"19762766","3671","13","702","1005","1707","41"
"19786529","3571","53","1038","1086","2124","48"
"20572728","2891","31","2478","2420","4898","50"
"20766382","2823","34","1886","1909","3795","49"
"21115861","2922","35","1229","1215","2444","50"
"21608218","2626","33","1604","1543","3147","50"
"22393755","3849","65","3041","2929","5970","50"
"23902274","3348","51","1007","900","1907","52"
"24730459","2756","33","2211","2287","4498","49"
"25021817","3088","45","1202","1174","2376","50"
"25103803","2188","24","1838","1526","3364","54"
"25892988","2081","23","456","551","1007","45"
"26132233","1637","14","5437","5517","10954","49"
"26661749","3562","53","3230","3152","6382","50"
"26980714","2797","35","845","916","1761","47"
"27273344","2103","15","2237","2309","4546","49"
"27550172","3563","71","1632","1488","3120","52"
"28226051","4040","73","2488","2384","4872","51"
"28350932","3598","","1749","1681","3430","50"
"28758158","3647","52","2155","2066","4221","51"
"29684507","3607","63","998","895","1893","52"
"29949218","2965","34","2547","2507","5054","50"
"30322301","3003","34","365","400","765","47"
"31118945","3170","44","3603","3646","7249","49"
"31250566","3990","62","3997","3893","7890","50"
"31375433","2211","","227","151","378","60"
"31608694","3599","55","1557","1489","3046","51"
"32103696","2613","42","1343","1302","2645","50"
"32283667","2031","52","1168","1061","2229","52"
"32488077","2967","","1114","1194","2308","48"
